空洞,"Hollow, Cavity, Cave",くうどう,Noun
飢え,"Hunger, Starvation",うえ,Noun
免疫,"Immunity, Immunization",めんえき,Noun
宮廷,"Imperial Court, Royal Court",きゅうてい,Noun and の adjective
疫病,"Infectious Disease, Plague, Epidemic",えきびょう,Noun and の adjective
巧妙,"Ingenious, Skillful",こうみょう,Noun and な adjective
無邪気,"Innocence, Simple Mindedness, Innocent, Simple Minded, Naive",むじゃき,Noun and な adjective
皇后,Japanese Empress,こうごう,Noun and の adjective
液晶,Liquid Crystal,えきしょう,Noun
壮大,"Magnificent, Grand, Epic",そうだい,Noun and な adjective
漫画,"Manga, Japanese Comics",まんが,Noun
連峰,Mountain Range,れんぽう,Noun
駄目,"Not Good, Hopeless, Cannot, Not Allowed",だめ,Noun and な adjective
偶に,"Occasionally, Once In A While",たまに,Adverb
生涯,"One&#39;s Lifetime, One&#39;s Career",しょうがい,Noun
軌道,"Orbit, Trajectory",きどう,Noun
仰々しい,"Pompous, Exaggerated",ぎょうぎょうしい,い adjective
壮年,Prime Of Life,そうねん,Noun
表彰,"Public Acknowledgement, Public Recognition",ひょうしょう,Noun and する verb
検疫,Quarantine,けんえき,Noun and する verb
諮問,"Question, Enquiry",しもん,"Noun, する verb, and の adjective"
輝き,Radiance,かがやき,Noun
殴り込み,Raid,なぐりこみ,Noun
名簿,"Register Of Names, List Of Names, Roll",めいぼ,Noun
信仰,Religious Faith,しんこう,Noun and する verb
〜亭,"Restaurant, Traditional Japanese Restaurant",てい,Noun and Suffix
改訂版,Revised Edition,かいていばん,Noun
壮行,Rousing,そうこう,Noun and の adjective
配偶者,"Spouse, Partner",はいぐうしゃ,Noun
奮起,"Stirring, Rousing Oneself",ふんき,Noun and する verb
唐突,"Sudden, Unexpected",とうとつ,Noun and な adjective
峰,"Summit, Peak, Ridge",みね,Noun
仰天,"Taken Aback, Amazed, Horrified, Flabbergasted",ぎょうてん,Noun and する verb
軌跡,"Tire Track, Path One Has Taken",きせき,Noun
遂げる,"To Accomplish, To Achieve, To Carry Out",とげる,Transitive verb and Ichidan verb
灯る,"To Burn, To Be Lighted, To Be Lit, To Be Burning",ともる,Intransitive verb and Godan verb
諮る,"To Consult With, To Discuss, To Confer",はかる,Transitive verb and Godan verb
漂う,To Drift,ただよう,Intransitive verb and Godan verb
尽くす,"To Exhaust, To Run Out, To Do To Exhaustion",つくす,Godan verb
翻る,"To Flip, To Turn Over, To Flip Over",ひるがえる,Intransitive verb and Godan verb
仰ぐ,"To Look Up At, To Look Up To",あおぐ,Transitive verb and Godan verb
溶ける,"To Melt, To Dissolve, To Thaw",とける,Intransitive verb and Ichidan verb
悔やむ,"To Regret, To Mourn, To Lament",くやむ,Transitive verb and Godan verb
脅す,To Threaten,おどす,Transitive verb and Godan verb
翻訳,Translation,ほんやく,Noun and する verb
運搬,"Transport, Carriage",うんぱん,Noun and する verb
搬送,Transportation,はんそう,"Noun, する verb, and Transitive verb"
伯父,Uncle,おじ,Noun
邪,"Wicked, Evil",よこしま,な adjective
淀川,Yodogawa,よどがわ,Proper noun
慈愛,"Affection, Kindness, Love",じあい,Noun
耕地,Arable Land,こうち,Noun
喚起,"Awaken, Rouse, Evoke, Excite",かんき,Noun and する verb
浦,"Bay, Inlet",うら,Noun
沸点,Boiling Point,ふってん,Noun
瓶,"Bottle, Jar",びん,Noun
瓶詰,"Bottling, Bottled",びんづめ,"Noun, する verb, and の adjective"
勘定,"Calculation, Counting, Allowance, Payment, Bill, Check",かんじょう,Noun and する verb
慈善,"Charity, Philanthropy",じぜん,Noun and の adjective
貞操,"Chastity, Virtue, Fidelity",ていそう,Noun
貞節,"Chastity, Virtue, Fidelity",ていせつ,Noun and な adjective
襟,"Collar, Lapel, Neck",えり,Noun
慈悲,"Compassion, Benevolence, Charity, Mercy",じひ,Noun
片隅,"Corner, Nook",かたすみ,Noun
隅,"Corner, Nook, Recess",すみ,Noun and Suffix
耕作,"Cultivation, Farming",こうさく,Noun and する verb
乾燥,"Dehydration, Dryness",かんそう,Noun and する verb
洗濯粉,Detergent,せんたくこ,Noun
郡,"District, County",ぐん,Noun and Suffix
洗濯屋,"Dry Cleaners, Laundromat",せんたくや,Noun
枯渇,"Drying Up, Dry Up, Running Dry",こかつ,Noun and する verb
軒,"Eaves, Stand In A Row, Stand Side By Side",のき,Noun
愛媛県,Ehime Prefecture,えひめけん,Proper noun
空き瓶,Empty Bottle,"あきびん, からびん",Noun
玄関,"Entranceway, Entry Hall, Foyer, Entryway",げんかん,Noun and の adjective
釈明,"Explanation, Vindication",しゃくめい,Noun and する verb
解釈,"Explanation, Interpretation",かいしゃく,Noun and する verb
農耕,"Farming, Agriculture",のうこう,Noun
脂肪,"Fat, Grease, Blubber",しぼう,Noun
柔軟,"Flexible, Pliable",じゅうなん,Noun and な adjective
四隅,Four Corners,よすみ,Noun
偉い,"Great, Excellent, Admirable, Remarkable",えらい,い adjective
偉大,"Greatness, Grand, Outstanding",いだい,Noun and な adjective
偉人,"Great Person, Great Man, Hero",いじん,Noun
邸内,"Grounds, Premises",ていない,Noun
軟禁,House Arrest,なんきん,Noun and する verb
〜軒,"House Counter, Counter For Houses, Building Counter, Counter For Buildings",けん,Counter and Suffix
慌ただしい,"Hurried, Hasty, Busy, Hectic, Frantic",あわただしい,い adjective
焦燥,"Impatience, Uneasy, Irritation",しょうそう,Noun and する verb
蓮花,"Lotus Flower, Lotus",れんげ,Noun
邸宅,"Mansion, Residence",ていたく,Noun
潤い,"Moisture, Richness, Wetness",うるおい,Noun
火炎瓶,Molotov Cocktail,かえんびん,Noun
塚,"Mound, Burial Mound",つか,Noun
会釈,"Nod, Greeting, Bow",えしゃく,Noun and する verb
隅々,"Nooks, Corners",すみずみ,Noun
注釈,"Notes, Comment, Remark, Annotation",ちゅうしゃく,Noun and する verb
公邸,Official Residence,こうてい,Noun
官邸,Official Residence,かんてい,Noun
肯定,"Positive, Affirmation",こうてい,Noun and する verb
私邸,Private Residence,してい,Noun
樹脂,Resin,じゅし,Noun and の adjective
蓮,Sacred Lotus,はす,Noun
苗,Seedling,なえ,Noun
〜隻,"Ship Counter, Counter For Ships",せき,Counter
皮膚,Skin,ひふ,Noun and の adjective
聡い,"Smart, Sensitive, Discerning",さとい,い adjective
郊外,"Suburb, Outskirts",こうがい,Noun and の adjective
近郊,"Suburbs, Outskirts",きんこう,Noun
山頂,Summit,さんちょう,Noun
召喚,"Summon, Summons",しょうかん,"Noun, する verb, and の adjective"
苗字,"Surname, Family Name",みょうじ,Noun and の adjective
世界恐慌,The Great Depression,せかいきょうこう,Proper noun
沸く,"To Boil, To Grow Hot, To Get Excited",わく,Intransitive verb and Godan verb
覆う,"To Cover, To Hide, To Conceal",おおう,Transitive verb and Godan verb
頂く,"To Humbly Receive, To Humbly Accept, To Humbly Eat, To Humbly Drink",いただく,Transitive verb and Godan verb
挟む,"To Put Between, To Sandwich, To Insert",はさむ,Transitive verb and Godan verb
召す,"To Respectfully Call, To Respectfully Invite, To Respectfully Eat, To Respectfully Drink",めす,Transitive verb and Godan verb
喚く,"To Shout, To Scream",わめく,Intransitive verb and Godan verb
浸す,"To Soak, To Steep, To Dip",ひたす,Transitive verb and Godan verb
耕す,"To Till, To Plow, To Plough, To Cultivate",たがやす,Transitive verb and Godan verb
洗濯する,"To Wash, To Do Laundry",せんたくする,する verb
枯れる,"To Wither, To Die",かれる,Intransitive verb and Ichidan verb
不貞,"Unfaithful, Infidelity",ふてい,"Noun, な adjective, and の adjective"
玄米,"Unpolished Rice, Unmilled Rice, Brown Rice",げんまい,Noun
花瓶,"Vase, Flower Vase",かびん,Noun
渦中,"Vortex, Maelstrom",かちゅう,Noun
洗濯機,"Washing Machine, Laundry Machine","せんたくき, せんたっき",Noun
渦,"Whirlpool, Eddy, Vortex",うず,Noun
聡明,"Wisdom, Sagacity",そうめい,Noun and な adjective
殊勝,Admirable,しゅしょう,Noun and な adjective
不倫,Adultery,ふりん,"Noun, な adjective, and の adjective"
没後,"After Death, Posthumously",ぼつご,Noun
覇気,"Ambition, Aspiration, Spirit",はき,Noun
出没,"Appearing Frequently, Infesting",しゅつぼつ,Noun and する verb
擁立,"Backing, Support",ようりつ,Noun and する verb
お風呂,Bath,おふろ,Noun
封鎖,"Blockade, Freezing",ふうさ,Noun and する verb
陥没,"Cave In, Collapse, Sinking, Depression",かんぼつ,Noun and する verb
鎖,"Chain, Chains",くさり,Noun
連鎖,"Chain, Chaining, Connection",れんさ,Noun and する verb
突貫,"Charge, Rush, Lightning Attack",とっかん,Noun and する verb
慢性,Chronic,まんせい,Noun and の adjective
陳腐,"Cliched, Stale, Hackneyed",ちんぷ,Noun and な adjective
閉鎖,"Closing, Closure, Shutdown, Lockout, Unsociable",へいさ,"Noun, する verb, and の adjective"
冷遇,"Cold Reception, Inhospitality",れいぐう,Noun and する verb
制覇,"Conquest, Domination, Mastery",せいは,Noun and する verb
恒常,"Constant, Routine",こうじょう,Noun
欠陥,"Defect, Fault, Deficiency, Deformity",けっかん,Noun
遭難,"Disaster, Shipwreck, Accident, Being Stranded",そうなん,Noun and する verb
没,"Discard, Reject, Death",ぼつ,Noun and Suffix
抱擁,"Embrace, Hug",ほうよう,Noun and する verb
遭遇,Encounter,そうぐう,Noun and する verb
我慢,"Endurance, Perseverance, Tolerance, Patience, Self Control",がまん,Noun and する verb
境遇,"Environment, Circumstances",きょうぐう,Noun
噴火,Eruption,ふんか,"Noun, する verb, and の adjective"
恒例,"Established Practice, Custom",こうれい,Noun
倫理,"Ethics, Morals",りんり,Noun and の adjective
陳列,"Exhibition, Display, Show",ちんれつ,Noun and する verb
膨張,"Expansion, Swelling, Increase, Growth",ぼうちょう,"Noun, する verb, and の adjective"
隼,Falcon,はやぶさ,Noun
陥落,"Fall, Sinking, Surrender",かんらく,Noun and する verb
没収,"Forfeiture, Seizure, Confiscation, Impounding",ぼっしゅう,"Noun, する verb, and の adjective"
覇権,"Hegemony, Supremacy",はけん,Noun and の adjective
膨大,"Huge, Bulky, Enormous, Extensive",ぼうだい,"Noun, な adjective, and の adjective"
猟師,"Hunter, Huntsman",りょうし,Noun
狩猟,Hunting,しゅりょう,"Noun, する verb, and の adjective"
猟,"Hunting, Game",りょう,Noun and の adjective
猟犬,"Hunting Dog, Hound",りょうけん,Noun
没頭,"Immersing Oneself, Immersing Yourself, Immerse Oneself, Immerse Yourself",ぼっとう,Noun and する verb
埋没,"Implantation, Burial, Embedding",まいぼつ,Noun and する verb
必須,"Indispensable, Required, Essential",ひっす,"Noun, な adjective, and の adjective"
惰性,"Inertia, Habit, Momentum",だせい,Noun
孤独,"Isolation, Loneliness, Solitude",こどく,"Noun, な adjective, and の adjective"
孤立,"Isolation, Alone, Friendless",こりつ,Noun and する verb
噴射,"Jet, Spray, Injection, Jet Propulsion",ふんしゃ,Noun and する verb
戦没,"Killed In Action, Death In Battle, KIA",せんぼつ,Noun and する verb
怠惰,"Laziness, Idleness, Sloth",たいだ,Noun and な adjective
偏狭,"Narrow Minded, Intolerance",へんきょう,Noun and な adjective
鎖国,"National Isolation, Exclusion Of Foreigners",さこく,Noun and する verb
怠慢,"Negligence, Procrastination, Carelessness",たいまん,"Noun, な adjective, and の adjective"
一貫,"One Piece Of Sushi, One Sushi, Consistency",いっかん,Noun and する verb
秩序,"Order, Regularity, System, Method",ちつじょ,Noun
発祥,Origin,はっしょう,Noun and する verb
孤児,Orphan,こじ,Noun and の adjective
芳香,"Perfume, Fragrance, Aroma",ほうこう,Noun and の adjective
恒久,"Permanent, Perpetual",こうきゅう,Noun and の adjective
貫徹,"Persistence, Accomplishment, Carry Through, Perseverance, Realization, Realisation",かんてつ,Noun and する verb
陳情,"Petition, Appeal",ちんじょう,Noun and する verb
貫通,"Pierce, Penetrate, Perforate",かんつう,"Noun, する verb, and の adjective"
密猟,Poaching,みつりょう,Noun and する verb
優遇,"Preferential Treatment, Favorable Treatment",ゆうぐう,"Noun, する verb, and の adjective"
偏見,Prejudice,へんけん,Noun
自慢,"Pride, Boast",じまん,"Noun, する verb, and の adjective"
擁護,"Protection, Advocacy, Support, Defence",ようご,Noun and する verb
食糧,"Provisions, Rations, Food Supply",しょくりょう,Noun
颯と,"Quickly, Suddenly",さっと,Adverb
賠償,"Reparations, Compensation",ばいしょう,Noun and する verb
没落,"Ruin, Fall, Collapse",ぼつらく,Noun and する verb
不祥事,Scandal,ふしょうじ,Noun
沈没,"Sinking, Going Down, Submersion",ちんぼつ,Noun and する verb
緩慢,"Slow, Sluggish, Dull",かんまん,Noun and な adjective
孤島,Solitary Island,ことう,Noun
特殊,"Special, Unique",とくしゅ,"Noun, な adjective, and の adjective"
噴出,"Spewing, Gushing, Spouting, Eruption",ふんしゅつ,Noun and する verb
恒星,Star,こうせい,Noun and の adjective
陳述,"Statement, Declaration, Allegation",ちんじゅつ,Noun and する verb
連覇,"Successive Championships, Consecutive Championships",れんぱ,Noun and する verb
示唆,"Suggestion, Hint, Implication",しさ,Noun and する verb
日没,Sunset,にちぼつ,Noun
覇者,"Supreme Ruler, Champion",はしゃ,Noun
〜貫,"Sushi Pieces Counter, Counter For Pieces Of Sushi",かん,Counter
芳しい,"Sweet, Fragrant, Aromatic, Good",かんばしい,い adjective
茨,"Thorn, Briar, Wild Rose",いばら,Noun
偏る,"To Be Biased, To Be One Sided, To Be Partial, To Be Prejudiced",かたよる,Intransitive verb and Godan verb
怠る,"To Be Negligent, To Neglect, To Shirk, To Be Off One&#39;s Guard",おこたる,Transitive verb and Godan verb
陥る,"To Cave In, To Collapse, To Fall, To Trap",おちいる,Intransitive verb and Godan verb
貫く,"To Go Through, To Pierce, To Penetrate, To Persist, To Stick To",つらぬく,Transitive verb and Godan verb
擁する,"To Have, To Possess",ようする,する verb
遭う,"To Meet, To Encounter",あう,Intransitive verb and Godan verb
膨れる,"To Swell, To Expand, To Be Inflated, To Distend, To Bulge",ふくれる,Intransitive verb and Ichidan verb
待遇,"Treatment, Reception",たいぐう,Noun and する verb
処遇,"Treatment, Dealing With",しょぐう,Noun and する verb
偏食,Unbalanced Diet,へんしょく,Noun and する verb
犠牲,"Victim, Sacrifice, Scapegoat",ぎせい,Noun
噴煙,Volcanic Smoke,ふんえん,Noun
鰐蟹,WaniKani,わにかに,Proper noun
噴水,Water Fountain,ふんすい,Noun
虐待,"Abuse, Maltreatment, Mistreatment, Cruelty",ぎゃくたい,"Noun, する verb, and の adjective"
軒並,"Across The Board, Row Of Houses, Altogether",のきなみ,Noun
稿料,"Advance For Manuscript, Copy Money",こうりょう,Noun
披露,"Announcement, Show, Display, Introduction, Perform",ひろう,Noun and する verb
随時,At Any Time,ずいじ,Adverb
虐殺,"Atrocity, Massive Killing, Slaughter, Massacre",ぎゃくさつ,Noun and する verb
真鯉,"Black Carp, Black Koi",まごい,Noun
搭乗,"Boarding, Embarkation",とうじょう,Noun and する verb
競艇,Boat Race,きょうてい,Noun and の adjective
沸騰,"Boiling, Seething",ふっとう,Noun and する verb
同胞,"Brethren, Brothers, Fellow Countrymen, Compatriot","どうほう, どうぼう",Noun
錦,"Brocade, Fine Dress, Fine Clothes",にしき,Noun
搭載,"Built In, Equipped With",とうさい,Noun and する verb
鯉,"Carp, Koi",こい,Noun
細胞,"Cell, Biological Cell","さいぼう, さいほう",Noun and の adjective
浄水,Clean Water,じょうすい,Noun
襟元,"Collar, Front Of The Neck, Nape Of The Neck",えりもと,Noun
錦鯉,"Colored Carp, Colored Koi",にしきごい,Noun
総帥,"Commander, Leader, Fuhrer",そうすい,Noun and Suffix
頂,"Crown, Summit, Spire, Easy Win For One, Something Received",いただき,Noun
残虐,"Cruelty, Brutality",ざんぎゃく,Noun and な adjective
惨敗,"Crushing Failure, Utterly Beaten, Overwhelming Defeat",ざんぱい,Noun and する verb
胡瓜,Cucumber,きゅうり,Noun
曙,"Dawn, Daybreak, Beginning",あけぼの,Noun
枯れ木,"Dead Tree, Dry Wood",かれき,Noun
繊細,"Delicate, Dainty, Fine, Slim, Sensitive, Subtle",せんさい,Noun and な adjective
皮膚科,Dermatology,ひふか,Noun
経緯,"Details, Particulars, Whole Story, How It Started, Longitude And Latitude","けいい, いきさつ",Noun
丹念,"Diligent, Careful, Elaborate, Meticulous",たんねん,Noun and な adjective
惨事,"Disaster, Horrible Accident",さんじ,Noun
悲惨,"Disastrous, Tragic, Miserable, Wretched, Pitiful",ひさん,Noun and な adjective
惨状,"Disastrous Scene, Terrible Spectacle",さんじょう,Noun
啓発,"Enlightenment, Development, Illumination, Education, Inspiration",けいはつ,Noun and する verb
啓蒙,"Enlightenment, Instruction",けいもう,Noun and する verb
随筆,"Essays, Miscellaneous Writings, Literary Jottings",ずいひつ,Noun
随所,"Everywhere, At Every Turn",ずいしょ,Noun
過剰,"Excess, Over",かじょう,Noun and な adjective
玄人,"Expert, Professional, Specialist, Woman Of The Red Light District",くろうと,Noun and の adjective
脂身,"Fat Meat, Fatty Meat",あぶらみ,Noun
繊維,"Fiber, Fibre, Textile",せんい,Noun and の adjective
追随,"Follow, Take After",ついずい,Noun and する verb
元帥,"General Of The Army, Marshal, Admiral",げんすい,Noun
徐行,Going Slowly,じょこう,Noun and する verb
徐々,"Gradually, Steadily, Quietly, Slowly",じょじょ,Adverb and の adjective
本舗,"Head Office, Main Shop, Shop Name Suffix",ほんぽ,Noun and Suffix
葵,Hollyhock,あおい,Noun
頂戴,"Humbly Receiving, Humble Eating, Humble Having",ちょうだい,Noun and する verb
緯度,Latitude,いど,Noun and の adjective
蓮根,Lotus Root,"れんこん, はすね",Noun
原稿,"Manuscript, Copy",げんこう,Noun
瓜,"Melon, Gourd",うり,Noun
艦艇,"Military Vessel, War Fleet",かんてい,Noun
惨め,"Miserable, Wretched, Unhappy, Sad",みじめ,な adjective
蒙古,Mongolia,もうこ,Proper noun
北緯,"Northern Latitude, North Latitude",ほくい,Noun
草稿,"Notes, Draft, Manuscript",そうこう,Noun
苗床,"Nursery, Seedbed",なえどこ,Noun
緯線,"Parallel, Latitude Lines",いせん,Noun
舗装,"Pavement, Road Surface",ほそう,Noun and する verb
清浄,"Pure, Clean, Purity","せいじょう, しょうじょう","Noun, な adjective, and の adjective"
浄土,Pure Land,じょうど,Noun
浄化,"Purification, Cleanup",じょうか,"Noun, する verb, and の adjective"
平壌,Pyongyang,"へいじょう, ぴょんやん",Proper noun
批准,"Ratification, Ratify",ひじゅん,Noun and する verb
緋鯉,"Red Carp, Golden Carp, Red Koi, Golden Koi",ひごい,Noun
余剰,"Redundant, Surplus, Residue, Balance",よじょう,Noun and の adjective
啓示,Revelation,けいじ,Noun and する verb
襟巻き,"Scarf, Muffler, Comforter",えりまき,Noun
苗木,"Seedling, Sapling, Young Tree",なえぎ,Noun
自浄,"Self Purification, Self Cleansing",じじょう,Noun and する verb
店舗,"Shop, Store, Shop Counter, Store Counter",てんぽ,Counter and Noun
舗,"Shop, Store","ほ, ぽ",Noun
胡座,"Sitting Cross Legged, Sit Cross Legged",あぐら,Noun
皮膚病,Skin Disease,ひふびょう,Noun
土壌,Soil,どじょう,Noun
南緯,"Southern Latitude, South Latitude",なんい,Noun
胞子,Spore,ほうし,Noun and の adjective
投稿,"Submission, Post, Contribution, Submit",とうこう,Noun and する verb
高騰,"Sudden Price Jump, Steep Price Rise",こうとう,Noun and する verb
急騰,"Sudden Rise, Jump, Sharp Rise",きゅうとう,Noun and する verb
暴騰,"Sudden Rise, Sharp Rise, Boom, Skyrocketing",ぼうとう,Noun and する verb
統帥,"Supreme Command, High Command",とうすい,Noun and する verb
剰余金,Surplus,じょうよきん,Noun
合繊,"Synthetic Fiber, Synthetic Fibre",ごうせん,Noun
化繊,"Synthetic Fibers, Synthetic Fibres",かせん,Noun
教諭,Teacher,きょうゆ,Noun and する verb
諭す,"To Admonish, To Persuade, To Warn",さとす,Transitive verb and Godan verb
沸かす,"To Boil, To Heat, To Excite",わかす,Transitive verb and Godan verb
挟まる,"To Get Between, To Be Caught In",はさまる,Intransitive verb and Godan verb
据える,"To Install, To Place, To Fix, To Set, To Lay, To Seat",すえる,Transitive verb and Ichidan verb
寛大,"Tolerance, Liberality, Leniency",かんだい,Noun and な adjective
寛容,"Tolerance, Open Minded, Forbearance, Generous",かんよう,Noun and な adjective
枯らす,"To Let Dry, To Kill, To Season",からす,Transitive verb and Godan verb
肯く,"To Nod, To Bow One&#39;s Head","うなずく, うなづく",Intransitive verb and Godan verb
虐げる,"To Oppress, To Persecute, To Tyrannize",しいたげる,Transitive verb and Ichidan verb
寛ぐ,"To Relax, To Feel At Home",くつろぐ,Godan verb
召し上がる,"To Respectfully Eat, To Respectfully Drink",めしあがる,Transitive verb and Godan verb
暴虐,"Tyranny, Outrage, Atrocity, Cruel",ぼうぎゃく,Noun and な adjective
不浄,"Uncleanliness, Dirtiness, Impurity, Filthiness, Defilement",ふじょう,"Noun, な adjective, and の adjective"
随分,"Very, Extremely, Surprisingly, Considerably",ずいぶん,Adverb and な adjective
洗浄,"Washing, Cleaning, Laundering",せんじょう,"Noun, する verb, and の adjective"
西瓜,Watermelon,すいか,Noun
渦巻き,"Whirlpool, Eddy, Coil",うずまき,Noun
丹誠,"Working Earnestly, Sincerity, Diligence, Effort",たんせい,Noun and する verb
顕在,"Actual, Obvious, Explicit, Overt, Apparent, Evident",けんざい,Noun and する verb
逸話,Anecdote,いつわ,Noun and の adjective
杏,Apricot,あんず,Noun
兵糧,"Army Provisions, Provisions",ひょうろう,Noun
自叙伝,Autobiography,じじょでん,Noun
哺乳瓶,Baby Bottle,ほにゅうびん,Noun
風呂場,Bathroom,ふろば,Noun
偏り,"Bias, Deviation, Prejudice",かたより,Noun
空欄,Blank Space,くうらん,Noun
盆栽,Bonsai,ぼんさい,Noun
栞,Bookmark,しおり,Noun
和尚,"Buddhist High Priest, High Priest, Buddhist Priest",おしょう,Noun
欄,"Column, Column Of Text, Field",らん,Noun
叙勲,"Conferring Of Decorations, Decorate",じょくん,Noun
紋章,"Crest, Coat Of Arms",もんしょう,Noun
王冠,"Crown, Diadem, Bottle Cap",おうかん,Noun and の adjective
冷酷,"Cruel, Coldhearted, Relentless, Ruthless",れいこく,Noun and な adjective
酷い,"Cruel, Awful, Severe, Terrible, Violent",ひどい,い adjective
残酷,"Cruelty, Harshness",ざんこく,Noun and な adjective
栽培,"Cultivation, Growing",さいばい,Noun and する verb
勲章,"Decoration, Order, Medal",くんしょう,Noun
痴呆,Dementia,ちほう,Noun and の adjective
過疎,Depopulation,かそ,Noun and の adjective
叙述,Description,じょじゅつ,"Noun, する verb, and の adjective"
逸脱,"Deviation, Departure",いつだつ,Noun and する verb
露顕,"Discovery, Detection, Exposure",ろけん,Noun and する verb
疾患,"Disease, Ailment, Disorder",しっかん,Noun and の adjective
無秩序,"Disorder, Chaos, Confusion",むちつじょ,Noun and な adjective
叙事詩,"Epic Poem, Descriptive Poetry",じょじし,Noun
殊に,"Especially, Particularly, Additionally, Unusually",ことに,Adverb
必須条件,"Essential Condition, Requisite, Must",ひっすじょうけん,Noun
疎遠,"Estrangement, Neglect",そえん,"Noun, な adjective, and の adjective"
疎外,"Estrangement, Neglect, Alienation",そがい,Noun and する verb
悠久,"Eternity, Perpetuity, Permanence",ゆうきゅう,"Noun, な adjective, and の adjective"
倫理的,Ethical,りんりてき,な adjective
倫理学,"Ethics, Moral Philosophy",りんりがく,Noun
疎開,Evacuation,そかい,Noun and する verb
秀逸,Excellence,しゅういつ,Noun and な adjective
応酬,"Exchange, Reciprocation",おうしゅう,Noun and する verb
酷使,"Exploitation, Overuse, Abuse",こくし,Noun and する verb
露呈,"Exposure, Disclosure",ろてい,Noun and する verb
紋,"Family Crest, Crest, Coat Of Arms",もん,Noun
指紋,Fingerprint,しもん,Noun
民謡,"Folk Song, Popular Song",みんよう,Noun
阿呆,"Fool, Simpleton, Idiot","あほう, あほ",Noun and な adjective
愚,"Foolish, Silly, Stupid",ぐ,Noun and な adjective
尚,"Furthermore, Still, More, Greater",なお,Adverb and Conjunction
疾風,"Gale, Strong Wind, Fresh Breeze","しっぷう, はやて",Noun
逸品,"Gem, Treasure, Article Of Rare Beauty, Fine Article",いっぴん,Noun
庶務,General Affairs,しょむ,Noun
銀杏,"Ginkgo, Ginkgo Nut, Ginkgo Tree","いちょう, ぎんなん",Noun
厳粛,"Gravity, Solemnity, Severity, Seriousness",げんしゅく,Noun and な adjective
欄干,"Guardrail, Handrail, Bannister",らんかん,Noun
高尚,"High, Noble, Refined",こうしょう,Noun and な adjective
別荘,"Holiday House, Villa",べっそう,Noun
顕彰,Honoring,けんしょう,Noun and する verb
茨城県,Ibaraki Prefecture,いばらきけん,Noun
愚痴,"Idle Complaint, Grumble",ぐち,Noun
疾病,"Illness, Disease",しっぺい,Noun
酷暑,Intense Heat,こくしょ,Noun
誘拐,"Kidnapping, Abduction",ゆうかい,Noun and する verb
悠長,"Leisurely, Slow, Deliberate, Easygoing",ゆうちょう,な adjective
叙情,"Lyricism, Description Of Feelings, Expression Of Feelings",じょじょう,Noun and の adjective
欄外,Margin,らんがい,Noun and の adjective
庶民,"Masses, Common People",しょみん,Noun and の adjective
殊勲,Meritorious Deeds,しゅくん,Noun
新陳代謝,Metabolism,しんちんたいしゃ,Noun and する verb
痴漢,"Molester, Pervert",ちかん,Noun
最優遇,"Most Favorable Treatment, Warmest Reception",さいゆうぐう,Noun
山荘,"Mountain Retreat, Mountain Cottage, Mountain Villa",さんそう,Noun
疎通,"Mutual Understanding, Removal Of Blockage, Drainage",そつう,Noun and する verb
童謡,"Nursery Rhyme, Children&#39;s Song",どうよう,Noun
哺育,"Nursing, Suckling",ほいく,"Noun, する verb, and の adjective"
孤児院,Orphanage,こじいん,Noun
実践,"Practice, Put Into Practice",じっせん,"Noun, する verb, and の adjective"
時期尚早,Premature,じきしょうそう,"Noun, な adjective, and の adjective"
贈呈,Presentation,ぞうてい,"Noun, する verb, and の adjective"
進呈,Presentation,しんてい,"Noun, する verb, and の adjective"
傲慢,"Pride, Haughtiness, Arrogance, Insolence",ごうまん,Noun and な adjective
風呂屋,Public Bathhouse,ふろや,Noun
悠々,"Quiet, Calm, Leisurely, Easy",ゆうゆう,Adjective and Adverb
顕著,"Remarkable, Striking, Obvious",けんちょ,Noun and な adjective
賠償金,"Reparations, Compensation",ばいしょうきん,Noun
酷似,"Resemblance, Resemble",こくじ,"Noun, する verb, and の adjective"
報酬,"Reward, Compensation",ほうしゅう,Noun
波紋,"Ripple, Repercussions",はもん,Noun
自粛,"Self Control, Self Discipline, Self Restraint",じしゅく,Noun and する verb
酷,"Severe, Harsh, Strict, Unfair",こく,Noun and な adjective
酷評,"Severe Criticism, Damnation",こくひょう,"Noun, する verb, and の adjective"
過酷,"Severity, Rigor, Cruelty, Harsh",かこく,Noun and な adjective
陳列室,Showroom,ちんれつしつ,Noun
鎌,"Sickle, Scythe",かま,Noun
静粛,Silent,せいしゅく,Noun and な adjective
荘厳,"Solemnity, Gravity",そうごん,Noun and な adjective
歌謡,"Song, Ballad",かよう,Noun
疎ら,"Sparse, Thin, Scattered, Straggling, Sporadic",まばら,Noun and な adjective
疾走,"Sprint, Dash",しっそう,Noun and する verb
茎,"Stem, Stalk",くき,Noun
噴き出す,"To Burst Out, To Spout Out",ふきだす,Intransitive verb and Godan verb
膨らむ,"To Expand, To Swell, To Get Big, To Become Inflated",ふくらむ,Intransitive verb and Godan verb
貫き通す,"To Follow, To Stick With, To Stick To, To Go Through",つらぬきとおす,Transitive verb and Godan verb
呆ける,"To Grow Senile, To Be Mentally Slow","ぼける, ほうける",Intransitive verb and Ichidan verb
音痴,"Tone Deafness, Tone Deaf, Off Key",おんち,"Noun, な adjective, and の adjective"
